Resistance ,"Grid currents _A,B,C phases",,,"Rotor currents A,B,C phases",,,"Stator currents A,B,C phases",,,"Grid voltages A,B,C phases",,,Grid Powers,,Rotor Powers,,Stator Powers,,Class.
R,i25a,i25b,i25c,ira,irb,irc,isa,isb,isc,v25a,v25b,v25c,pg,qg,pr,qr,ps,qs,Target
80,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
85,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
90,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
95,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
100,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
110,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
120,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
130,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
140,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
150,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
